codigo,nombre,distrito,provincia,departamento,latitud,longitud,altitud_m,banda_altitud,banda_descripcion
35120,CONSULTORIO ODONTOLOGICO ODONTOMAGIC,SAN JUAN DE MIRAFLORES,LIMA,LIMA,-12.18599767,-76.98058761,63.0,Banda 1,0–2499 m s. n. m.
35209,SPECTRA LASER,MIRAFLORES,LIMA,LIMA,-12.1095256,-77.0378333,90.0,Banda 1,0–2499 m s. n. m.
35210,SER - SERVICIO ESPECIALIZADO RENAL SAC,LINCE,LIMA,LIMA,-12.0851902,-77.0452675,104.0,Banda 1,0–2499 m s. n. m.
33730,CONSULTORIO MÉDICO,PUEBLO LIBRE,LIMA,LIMA,-12.08464,-77.0620454,84.0,Banda 1,0–2499 m s. n. m.
34808,OFTALVISTA,LINCE,LIMA,LIMA,-12.0831202,-77.0322116,123.0,Banda 1,0–2499 m s. n. m.
35003,CENTRO NACIONAL DE TELEMEDICINA- CENATE,JESUS MARIA,LIMA,LIMA,-12.0796889,-77.03692643,122.0,Banda 1,0–2499 m s. n. m.
35162,CENTRO DE SALUD MENTAL COMUNITARIO CABALLO COCHA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,LORETO,-3.90945592,-70.5128364,76.0,Banda 1,0–2499 m s. n. m.
34978,CASTAÑEDA SALUD Y ESTETICA,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS,-6.22657109,-77.87143789,2322.0,Banda 1,0–2499 m s. n. m.
34933,SANTIAGO ESSALUD,SANTIAGO,CUSCO,CUSCO,-13.52830253,-71.97083033,3347.0,Banda 2,2500–3599 m s. n. m.
35132,ALIANZA MEDICAL,CASTILLA,PIURA,PIURA,-5.1900135,-80.6169529,36.0,Banda 1,0–2499 m s. n. m.
34819,MediLife Consultorio,CARMEN DE LA LEGUA-REYNOSO,CALLAO,CALLAO,-12.041693,-77.0982156,46.0,Banda 1,0–2499 m s. n. m.
34971,Centro de Enfermedades Cardiovasculares -  Herz Kinik,SULLANA,SULLANA,PIURA,-4.9060514,-80.697569,64.0,Banda 1,0–2499 m s. n. m.
35296,VIDA´S,CHICLAYO,CHICLAYO,LAMBAYEQUE,-6.782798,-79.8402128,30.0,Banda 1,0–2499 m s. n. m.
34735,KIRU DENT´S,ANDAHUAYLAS,ANDAHUAYLAS,APURIMAC,-13.65595578,-73.3884949,2905.0,Banda 2,2500–3599 m s. n. m.
34829,NOVA VISIÓN CENTRO OFTALMOLÓGICO,ICA,ICA,ICA,-14.0732,-75.74253,405.0,Banda 1,0–2499 m s. n. m.
34837,CONSULTORIO ODONTOLOGICO SANTA MARIA,ICA,ICA,ICA,-14.07546,-75.7341811,406.0,Banda 1,0–2499 m s. n. m.
34929,CHECACUPE,CHECACUPE,CANCHIS,CUSCO,-14.0294474,-71.45289674,3441.0,Banda 2,2500–3599 m s. n. m.
35378,policlínico la luz,SAN JUAN DE LURIGANCHO,LIMA,LIMA,-12.030231,-77.011021,191.0,Banda 1,0–2499 m s. n. m.
35379,Consultorio Ginecológico,MIRAFLORES,LIMA,LIMA,-12.1266579,-77.0132643,98.0,Banda 1,0–2499 m s. n. m.
35375,CONSULTORIO MEDICO BCR-SEDE CENTRAL,LIMA,LIMA,LIMA,-12.05011982,-77.02913559,165.0,Banda 1,0–2499 m s. n. m.
35377,ARTHROSALUD,LINCE,LIMA,LIMA,-12.090454,-77.023765,132.0,Banda 1,0–2499 m s. n. m.
35302,MODEL CORPO,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS,-6.23244809,-77.8715226,2326.0,Banda 1,0–2499 m s. n. m.
35303,ODONTOLOGÍA CALDERON CDEC,BAGUA GRANDE,UTCUBAMBA,AMAZONAS,-5.7582126,-78.4406194,454.0,Banda 1,0–2499 m s. n. m.
35367,INSALUD,JESUS MARIA,LIMA,LIMA,-12.0894516,-77.0581807,87.0,Banda 1,0–2499 m s. n. m.
35307,CENTRO DE SALUD MENTAL COMUNITARIO LAMAS,LAMAS,LAMAS,SAN MARTIN,-6.42060156,-76.51648061,798.0,Banda 1,0–2499 m s. n. m.
34949,Consultorio Dental Characato Salud,CHARACATO,AREQUIPA,AREQUIPA,-16.4728798,-71.4829052,2479.0,Banda 1,0–2499 m s. n. m.
35248,ODONTOPLUS VMT,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,-12.17253174,-76.94876576,151.0,Banda 1,0–2499 m s. n. m.
35272,OPTICA ROMA,YURIMAGUAS,ALTO AMAZONAS,LORETO,-5.8966767,-76.1067627,154.0,Banda 1,0–2499 m s. n. m.
35355,LMF DIAGNOSTICO,HUACHO,HUAURA,LIMA,-11.1167066,-77.6085027,33.0,Banda 1,0–2499 m s. n. m.
